churn,age,deposits,withdrawal,purchases_partners,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,ios_user,android_user,registered_phones,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,left_for_two_month_plus,left_for_one_month,reward_rate,is_referred,housing_O,housing_R,payment_type_Bi-Weekly,payment_type_Monthly,payment_type_Semi-Monthly,payment_type_Weekly
0,37,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,28,0,0,1,0,96,0,0,5,1,1,1,0,0,0,0,0,0,0,0,1.47,1,0,1,0,0,0,1
0,35,47,2,86,0,285,0,0,9,1,0,0,1,2,0,0,0,0,1,0,2.17,0,0,1,0,0,1,0
0,26,26,3,38,0,74,0,0,26,1,0,0,1,0,0,0,0,0,0,0,1.1,1,0,1,1,0,0,0
1,27,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0.03,0,0,0,1,0,0,0
1,32,5,3,111,0,227,0,0,17,1,1,0,1,0,0,0,0,0,0,0,1.83,0,0,1,1,0,0,0
0,21,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.07,0,0,0,1,0,0,0
0,24,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0
0,28,0,0,0,2,47,1,0,9,1,1,1,0,0,0,0,0,0,0,0,0.87,1,0,1,1,0,0,0
0,23,1,0,87,0,125,0,0,3,1,1,1,0,0,0,0,0,0,0,0,1.07,0,0,0,1,0,0,0
0,32,0,0,30,0,70,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0.83,1,0,1,0,1,0,0
0,41,14,0,116,0,217,0,0,45,1,1,1,0,0,0,0,0,0,0,0,2.17,0,1,0,0,0,1,0
0,20,0,0,135,0,286,0,0,21,1,1,1,1,5,0,0,0,0,0,0,2.2,1,0,0,1,0,0,0
0,27,2,1,48,0,127,0,0,18,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,47,11,1,20,0,30,0,0,10,1,1,1,0,0,0,0,0,0,0,0,0.69,1,0,0,1,0,0,0
1,44,0,0,0,1,4,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0.07,0,0,0,0,0,1,0
1,24,6,2,24,0,55,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,1
0,31,17,2,62,0,180,0,0,22,1,1,0,1,0,0,0,0,0,0,0,1.43,0,0,1,0,0,0,0
0,20,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,30,2,1,0,0,9,0,0,2,1,1,0,1,0,0,0,0,0,1,0,0.07,0,0,0,1,0,0,0
1,59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,21,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,37,0,0,39,0,74,0,0,6,1,1,1,0,2,0,1,0,0,0,0,1.33,0,0,1,0,0,0,0
1,30,6,0,11,0,20,0,0,3,1,0,0,1,2,0,0,0,0,0,0,0.4,0,0,1,1,0,0,0
0,36,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0
1,44,0,0,0,3,4,3,1,4,1,1,1,0,0,0,0,0,0,0,1,0.17,0,1,0,0,1,0,0
